Task Name,Pillar,Category,Status,Priority,Assignee,Due Date,Tags,Effort,Description
YouTube Shorts Production,YOUTUBE,Content Creation,Backlog,High,,2025-11-25,feature,Large (1-3d),Create engaging YouTube Shorts showcasing YONI features
Tutorial Videos,YOUTUBE,Content Creation,Backlog,Medium,,2025-11-28,feature,X-Large (>3d),Produce comprehensive tutorial videos for app usage
App Demo Videos,YOUTUBE,Content Creation,Backlog,High,,2025-11-22,feature,Medium (3-8h),Create demo videos highlighting key features
Behind-the-Scenes Content,YOUTUBE,Content Creation,Backlog,Low,,2025-12-01,feature,Medium (3-8h),Share development journey and team stories
Community Posts with Payment Links,YOUTUBE,Community Engagement,Backlog,High,,2025-11-23,urgent;feature,Small (1-2h),Create community posts with Stripe checkout links
Q&A Sessions,YOUTUBE,Community Engagement,Backlog,Medium,,2025-11-26,feature,Medium (3-8h),Host live Q&A sessions for community
User Testimonials,YOUTUBE,Community Engagement,Backlog,Medium,,2025-11-29,feature,Medium (3-8h),Collect and showcase user testimonials
Launch Announcement,YOUTUBE,Community Engagement,Backlog,High,,2025-11-20,urgent;feature,Small (1-2h),Prepare and publish official launch announcement
Social Media Strategy,YOUTUBE,Marketing,Backlog,High,,2025-11-18,feature,Large (1-3d),Develop comprehensive social media marketing strategy
Influencer Outreach,YOUTUBE,Marketing,Backlog,Medium,,2025-11-24,feature,Medium (3-8h),Reach out to mental health influencers for collaboration
Press Release,YOUTUBE,Marketing,Backlog,Medium,,2025-11-21,documentation,Small (1-2h),Write and distribute press release for launch
Launch Campaign,YOUTUBE,Marketing,Backlog,High,,2025-11-19,urgent;feature,X-Large (>3d),Plan and execute comprehensive launch campaign
